grid_code,cn
10_P_I_A,45
10_P_I_B,66
10_P_I_C,77
10_P_I_D,83
20_P_I_A,63
20_P_I_B,77
20_P_I_C,85
20_P_I_D,88
30_P_I_A,68
30_P_I_B,79
30_P_I_C,86
30_P_I_D,89
40_P_I_A,72
40_P_I_B,81
40_P_I_C,88
40_P_I_D,91
50_P_I_A,89
50_P_I_B,92
50_P_I_C,94
50_P_I_D,95
60_P_I_A,65
60_P_I_B,79
60_P_I_C,87
60_P_I_D,90
70_P_I_A,0
70_P_I_B,0
70_P_I_C,0
70_P_I_D,0
80_P_I_A,100
80_P_I_B,100
80_P_I_C,100
80_P_I_D,100
90_P_I_A,80
90_P_I_B,80
90_P_I_C,80
90_P_I_D,80
95_P_I_A,0
95_P_I_B,0
95_P_I_C,0
95_P_I_D,0
100_P_I_A,74
100_P_I_B,77
100_P_I_C,78
100_P_I_D,79